Country_ID,Year,Total losses
SE,2018,93.0
SE,2019,149.0
SE,2020,67.0
SE,2021,46.0
SE,2022,69.0
SE,2023,92.0
SI,1980,0.0
SI,1981,0.0
SI,1982,0.0
SI,1983,0.0
SI,1984,1.0
SI,1985,0.8
SI,1986,0.6
SI,1987,0.3999999999999999
SI,1988,0.1999999999999999
SI,1989,0.0
SI,1990,1957.0
SI,1991,22.0
SI,1992,419.0
SI,1993,405.0
SI,1994,108.0
SI,1995,85.0
SI,1996,92.0
SI,1997,99.0
SI,1998,371.0
SI,1999,26.0
SI,2000,151.0
SI,2001,100.0
SI,2002,160.5
SI,2003,221.0
SI,2004,107.0
SI,2005,81.0
SI,2006,74.0
SI,2007,371.0
SI,2008,143.0
SI,2009,208.5
SI,2010,274.0
SI,2011,428.5
SI,2012,583.0
SI,2013,1006.5
SI,2014,1430.0
SI,2015,1025.0
SI,2016,620.0
SI,2017,215.0
SI,2018,207.0
SI,2019,199.0
